iter	MAE
218	43036.54207
219	42954.87133
220	42932.5897
221	42915.69646
222	42884.11715
223	42825.05082
224	42785.96359
225	42721.62039
226	42680.96738
227	42624.67188
228	42571.87201
229	42497.21655
230	42472.35928
231	42384.53824
232	42299.81148
233	42290.00799
234	42206.90001
235	42154.53588
236	42104.34054
237	42057.01096
238	42003.97391
239	41971.53926
240	41922.06628
241	41863.94667
242	41844.64721
243	41621.39262
244	41573.3437
245	41529.39318
246	41492.25726
247	41477.48412
248	41427.60684
249	41342.25163
250	41325.49555
251	41253.85757
252	41215.58508
253	41201.91088
254	41180.72813
255	41165.35416
256	41140.44955
257	41097.53694
258	41038.77188
259	40913.31958
260	40858.18556
261	40835.79383
262	40817.3844
263	40803.54948
264	40780.34736
265	40701.06405
266	40688.57614
267	40655.55322
268	40645.12254
269	40599.88468
270	40537.17818
271	40523.18138
272	40495.30215
273	40295.52403
274	40283.96178
275	40248.05023
276	40230.01303
277	40197.29296
278	40113.93652
279	40099.36899
280	40080.74579
281	40059.02227
282	40018.25869
283	39971.51706
284	39962.44695
285	39892.5547
286	39844.81058
287	39790.61018
288	39771.61584
289	39753.60896
290	39677.03659
291	39600.45525
292	39549.43181
293	39540.44715
294	39525.84893
295	39431.37577
296	39415.45921
297	39382.10843
298	39353.4697
299	39336.8368
300	39302.01165
301	39279.76019
302	39260.52548
303	39236.221
304	39114.93809
305	39014.62191
306	38999.54746
307	38904.44773
308	38883.21582
309	38858.393
310	38742.36562
311	38699.92474
312	38666.96937
313	38624.62801
314	38605.63673
315	38532.70861
316	38506.83245
317	38453.98279
318	38406.68085
319	38372.10457
320	38269.84202
321	38259.9789
322	38229.52406
323	38191.80683
324	38077.41327
325	38043.54706
326	38018.38946
327	37987.18113
328	37971.02613
329	37936.27877
330	37911.62805
331	37885.71416
332	37860.29893
333	37822.58201
334	37806.04169
335	37756.76056
336	37751.29786
337	37717.74678
338	37689.44454
339	37649.16769
340	37596.83764
341	37564.77962
342	37533.7757
343	37528.07111
344	37521.56856
345	37496.28557
346	37468.66532
347	37384.02156
348	37367.9298
349	37342.10164
350	37241.69143
351	37231.06054
352	37181.03955
353	37161.6964
354	37115.80177
355	37071.44217
356	37060.84926
357	37051.82432
358	37037.35998
359	37004.71845
360	36931.49696
361	36911.43596
362	36883.603
363	36863.34417
364	36851.51511
365	36825.92699
366	36819.65828
367	36809.12143
368	36664.82646
369	36638.84779
370	36604.21497
